x=1, f1=10, f2=5, f3=1, f4=1, f5=1, f6=14, f7=10, f8=0.8414709848078965, f9=0.8414709848078965, f10=104
x=2, f1=20, f2=8, f3=4, f4=8, f5=32, f6=28, f7=9, f8=0.9092974268256817, f9=1.8185948536513634, f10=196
x=3, f1=32, f2=11, f3=9, f4=27, f5=243, f6=58, f7=26, f8=0.1411200080598672, f9=0.4233600241796016, f10=676
x=4, f1=46, f2=14, f3=16, f4=64, f5=1024, f6=110, f7=103, f8=-0.7568024953079282, f9=-3.027209981231713, f10=2180
x=5, f1=62, f2=17, f3=25, f4=125, f5=3125, f6=190, f7=306, f8=-0.9589242746631385, f9=-4.794621373315692, f10=5800
x=6, f1=80, f2=20, f3=36, f4=216, f5=7776, f6=304, f7=725, f8=-0.27941549819892586, f9=-1.6764929891935552, f10=13204
x=7, f1=100, f2=23, f3=49, f4=343, f5=16807, f6=458, f7=1474, f8=0.6569865987187891, f9=4.598906191031523, f10=26756
x=8, f1=122, f2=26, f3=64, f4=512, f5=32768, f6=658, f7=2691, f8=0.9893582466233818, f9=7.914865972987054, f10=49636
x=9, f1=146, f2=29, f3=81, f4=729, f5=59049, f6=910, f7=4538, f8=0.4121184852417566, f9=3.7090663671758093, f10=85960
x=10, f1=172, f2=32, f3=100, f4=1000, f5=100000, f6=1220, f7=7201, f8=-0.5440211108893698, f9=-5.440211108893697, f10=140900
x=11, f1=200, f2=35, f3=121, f4=1331, f5=161051, f6=1594, f7=10890, f8=-0.9999902065507035, f9=-10.999892272057739, f10=220804
x=12, f1=230, f2=38, f3=144, f4=1728, f5=248832, f6=2038, f7=15839, f8=-0.5365729180004349, f9=-6.43887501600522, f10=333316
x=13, f1=262, f2=41, f3=169, f4=2197, f5=371293, f6=2558, f7=22306, f8=0.4201670368266409, f9=5.462171478746332, f10=487496
x=14, f1=296, f2=44, f3=196, f4=2744, f5=537824, f6=3160, f7=30573, f8=0.9906073556948704, f9=13.868502979728184, f10=693940
x=15, f1=332, f2=47, f3=225, f4=3375, f5=759375, f6=3850, f7=40946, f8=0.6502878401571168, f9=9.754317602356753, f10=964900
x=16, f1=370, f2=50, f3=256, f4=4096, f5=1048576, f6=4634, f7=53755, f8=-0.2879033166650653, f9=-4.606453066641045, f10=1314404
x=17, f1=410, f2=53, f3=289, f4=4913, f5=1419857, f6=5518, f7=69354, f8=-0.9613974918795568, f9=-16.343757361952466, f10=1758376
x=18, f1=452, f2=56, f3=324, f4=5832, f5=1889568, f6=6508, f7=88121, f8=-0.7509872467716762, f9=-13.517770441890171, f10=2314756
x=19, f1=496, f2=59, f3=361, f4=6859, f5=2476099, f6=7610, f7=110458, f8=0.14987720966295234, f9=2.8476669835960946, f10=3003620
x=20, f1=542, f2=62, f3=400, f4=8000, f5=3200000, f6=8830, f7=136791, f8=0.9129452507276277, f9=18.258905014552553, f10=3847300
x=21, f1=590, f2=65, f3=441, f4=9261, f5=4084101, f6=10174, f7=167570, f8=0.8366556385360561, f9=17.56976840925718, f10=4870504
x=22, f1=640, f2=68, f3=484, f4=10648, f5=5153632, f6=11648, f7=203269, f8=-0.008851309290403876, f9=-0.1947288043888853, f10=6100436
x=23, f1=692, f2=71, f3=529, f4=12167, f5=6436343, f6=13258, f7=244386, f8=-0.8462204041751706, f9=-19.463069296028923, f10=7566916
x=24, f1=746, f2=74, f3=576, f4=13824, f5=7962624, f6=15010, f7=291443, f8=-0.9055783620066238, f9=-21.73388068815897, f10=9302500
